Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle,Smoothed_X,Smoothed_Y
84,1,602.0742,623.59314,625.03625,628.0123,646.89825,629.5639,6.834174225880729,622.5657938342388,629.4189836999648
85,1,599.04736,622.1031,627.35895,628.21783,651.1137,630.79395,5.998256900733931,624.3093831572957,629.3077579852489
86,1,601.13824,621.4479,628.90155,628.2166,651.5732,630.75006,7.32544354031035,626.1992318841494,629.2015789801819
87,1,602.6033,621.191,630.1441,627.6208,651.1895,631.5111,2.6680714510009063,628.0442152411713,629.1506496944851
88,1,603.4668,619.58154,631.4037,628.2429,652.7645,631.7429,7.919907765108282,629.6841048241777,629.1963378171749
89,1,603.9078,621.14636,631.9079,629.2196,653.7089,632.55664,7.381210972858405,631.082257706761,629.3446697544458
90,1,603.0162,623.7248,632.56995,630.9053,655.3808,634.28503,5.22824677950756,632.2329273319579,629.5928365917865
91,1,604.1088,625.8638,631.4112,631.965,652.62646,635.0955,4.203095292686172,633.1303671428052,629.9380294146856
92,1,603.9562,625.4662,631.9271,631.848,655.1234,633.963,7.642878723824701,633.8290336711495,630.366001899749
93,1,613.3579,625.4874,632.8916,630.80695,646.0828,633.4055,4.089548195679397,634.6241958040794,630.8167580880497
94,1,614.2477,624.84406,636.2514,630.83276,652.44147,635.4922,0.8306300555309186,635.7955769788522,631.2188646117772
95,1,610.7726,623.967,639.58044,631.25836,662.37476,637.76575,1.7295220394884132,637.319906478162,631.500888103122
96,1,612.4593,624.2667,641.6386,631.5323,662.7488,640.0093,7.896277404614677,639.1004841701057,631.6173834220812
97,1,613.7752,624.45685,642.26215,631.9146,663.3228,637.93787,1.28982979615974,641.0498864189523,631.6268583398816
98,1,615.10474,624.0076,645.1584,631.5417,666.00726,638.76746,5.041971497765254,643.0475701148791,631.6138088555579
99,1,616.4958,622.84705,646.4051,630.1597,667.9743,637.3296,4.648440974174452,644.8312377555202,631.6627309681448
100,1,616.60767,623.6452,646.4071,630.9938,668.353,637.9951,3.84124570808015,646.1795095597489,631.840881860036
101,1,616.45056,625.0195,645.74927,632.6562,667.99005,638.24365,0.5074485881219329,647.1764310239389,632.1465634470649
102,1,617.28265,626.2268,646.2494,634.00195,668.9988,637.8113,5.519137279995277,647.9824039638388,632.5608388284235
103,1,617.0849,626.6429,646.59265,634.71063,669.7831,637.9143,7.426159199959069,648.7578301951975,633.0647711033051
104,1,618.09955,626.1823,647.64575,634.668,671.3724,637.58344,9.019052089374712,649.6283867506484,633.6290066162061
105,1,619.2639,625.7664,649.62897,634.8713,674.016,637.81836,9.800605133056512,650.5808515303634,634.1825246928413
106,1,620.0379,625.4386,650.85406,634.71826,675.063,638.02686,8.976318248636483,651.5672776513994,634.6438879042292
107,1,621.1372,625.52655,652.2539,634.53174,676.0792,638.97723,5.571371672768536,652.5397182308134,634.9316588213886
108,1,623.0412,626.0543,653.28937,633.57886,675.4252,640.7874,4.068615924581459,653.450226385662,634.9644000153385
109,1,624.80206,625.31525,653.07874,633.31006,675.48376,638.57935,2.552899793242565,654.2519432890167,634.6919595776724
110,1,626.57104,624.0555,653.96765,633.1056,675.89703,636.6344,9.13882222650106,654.902362338007,634.1893276822839
111,1,625.2214,622.3398,652.8178,630.5225,674.89905,633.1601,9.704195024623251,655.3600649857773,633.5627800236413
112,1,625.40686,621.1148,652.2511,629.3746,675.2904,632.036,10.513277748858323,655.5836326854716,632.9185922962128
113,1,626.0026,621.7301,652.8166,630.20166,675.7599,632.1755,12.616244784470627,655.5521612017666,632.3483406918076
114,1,627.3715,622.86035,652.8079,630.7953,675.48413,631.087,16.588470495793825,655.326803545471,631.8848033916
115,1,642.43756,624.8026,651.9864,631.18896,665.57715,627.5722,48.67712855374636,654.9892270389255,631.5460590741045
116,1,672.773,625.71765,650.39655,632.2112,634.31934,624.8465,40.79412277714693,654.6210990044715,631.3501864178361
117,1,680.19244,624.74243,651.432,631.5191,626.50854,623.42084,31.258768235301403,654.2906312846558,631.2929929536695
118,1,678.8776,622.73376,653.79675,631.0927,633.3032,624.48236,36.30971248314928,654.0122138028477,631.2812016219182
124,1,687.8959,623.0697,660.6751,631.359,634.32996,625.0451,30.413974639125687,656.1223532585504,631.2236420675124
125,1,689.59045,623.84106,661.7978,633.2997,634.20746,625.9099,33.78898465849251,657.6502566156282,631.5460116665047
126,1,690.7383,624.0797,663.0471,634.3596,635.1197,627.87164,33.44535343372944,659.0799489734663,632.0006596182117
127,1,690.5051,623.80396,662.4913,633.7822,635.0321,626.9289,33.61915410769012,660.341963472012,632.3051506922927
128,1,689.9632,623.16895,662.92633,631.2577,636.50616,625.6264,28.68801952367543,661.4984696429403,632.2108584697645
129,1,690.4095,622.35583,662.81537,630.2136,636.5426,625.23535,26.62444024762551,662.6116370179268,631.8608001347243
130,1,691.33655,622.23285,663.9115,630.1933,637.7154,625.86725,25.56325533879364,663.740456190541,631.4606243165657
131,1,694.22003,621.78204,665.97644,629.94403,639.10205,626.83435,22.718955275191377,664.9312020019265,631.0748618227888
132,1,697.2301,620.0119,667.84296,630.32477,639.87445,626.8089,26.50252632381036,666.2269703551212,630.7327640054198
133,1,697.5107,620.93176,669.64197,630.5958,642.65015,627.1234,26.455712270199623,667.6708571531624,630.4635822164855
134,1,698.4701,621.03564,671.61786,630.1811,645.2961,627.504,24.615349758383857,669.2840027256167,630.2850676063072
135,1,694.3494,621.7125,672.96344,629.59863,649.75305,627.19666,26.149858804481983,670.9997251081675,630.1689705183813
136,1,675.682,624.26385,675.1093,629.2211,663.3261,626.61237,95.89381423022486,672.7293867630274,630.0755410945004
137,1,701.8161,621.5121,675.4626,631.43304,648.1152,628.71985,26.295085738487685,674.3843501524084,629.9650294764556
138,1,703.09894,619.8724,676.3861,630.49756,648.8027,628.09485,26.66877311138628,675.8759777385235,629.7976858060385
139,1,702.59393,619.283,676.21344,628.35596,649.9707,626.898,22.159298687558252,677.1156319835849,629.5337602250411
140,1,701.9755,619.88257,676.29736,627.8236,650.61523,626.6542,19.79150826102499,678.0146753498051,629.1335028752547
141,1,701.6602,619.6073,677.18146,627.6967,651.6194,626.6801,20.564445639090213,678.4844702993967,628.5571638984711
0,2,580.4399,711.9377,600.8364,723.50116,614.6809,740.8038,21.785026525453585,600.8256795697922,723.29906288789
1,2,579.5174,711.64844,599.31604,723.66406,614.6605,741.3711,17.835385210986928,599.6849931189474,724.089668422957
2,2,579.4313,712.6192,598.5561,724.6956,614.2861,741.4743,14.577177869571246,598.4361146738314,724.5697427495211
3,2,578.3239,713.2221,597.23724,725.1411,613.1396,742.2956,14.950481802122976,597.1890267892409,724.7498409067265
4,2,576.85846,712.1557,596.3259,724.50476,612.6234,742.18463,14.94109345292394,596.0537120199727,724.6626976112415
5,2,575.6728,710.63165,595.2901,723.7499,612.0889,741.99554,13.593254359463112,595.1401529208233,724.429766289831
6,2,573.4708,708.97107,594.42395,723.02527,612.01746,741.4531,12.475345683016725,594.5183960051188,724.1655046741388
7,2,573.8692,708.96356,594.4967,723.0605,611.87195,741.3197,12.072183633557444,594.0987436203017,723.8676690052329
8,2,574.11456,708.39374,594.82367,723.0848,611.97125,740.9426,10.810499689270198,593.7515620723442,723.5048401515368
9,2,573.6291,708.3494,593.9731,722.75244,611.71106,740.5215,9.75265918611883,593.3472176672183,723.0455989814736
10,2,573.2738,708.29767,593.5573,722.35596,610.9811,739.799,10.30625905904082,592.7834304761805,722.4716057936125
11,2,572.83514,707.4172,592.7255,721.3962,609.543,738.8561,10.97400485795368,592.0673356316277,721.8168386071033
12,2,571.96686,706.395,591.15625,719.99414,606.73486,737.77313,13.449527516428406,591.2334220312409,721.1283548712412
13,2,570.92236,705.37335,589.5484,718.6645,605.00104,736.7336,13.952220148161572,590.3161785727012,720.453212035321
14,2,569.7179,704.54974,588.45276,718.35516,604.6331,736.03687,11.152755058643631,589.3500941536898,719.8384675486384
15,2,568.221,704.22174,587.2102,718.79297,603.8316,736.1976,8.817996647588176,588.369657671888,719.3149016849778
16,2,567.67474,704.1961,586.78503,719.5352,603.69666,736.72266,6.710778170296502,587.409358024977,718.8481860160826
17,2,566.70435,703.06793,586.12024,718.5441,603.4677,736.53265,7.481363642375904,586.503684110638,718.387714938186
18,2,566.015,702.4413,585.7262,717.6891,603.362,736.04675,8.42473522500719,585.6871248265522,717.8828828475207
19,2,565.2406,700.1921,585.38556,716.473,603.4292,735.0306,6.859640583228905,584.9841713269304,717.2956424795249
20,2,565.16754,699.2292,585.28503,715.9735,602.98486,733.752,5.3555494444096015,584.3793237921006,716.6381799264584
21,2,564.57184,698.63336,584.68225,715.41644,602.39124,733.2407,5.339315859141579,583.8470846589202,715.9352396197868
22,2,564.41296,698.6069,584.579,714.7873,601.8234,732.75903,7.440914930640799,583.3619563642469,715.2115659909743
23,2,563.82697,697.7188,584.0223,713.9656,601.16473,732.2359,8.008125180349264,582.8984413449386,714.4919034714862
24,2,563.3698,697.17584,583.298,713.11505,600.0401,731.4881,9.005208015568357,582.4379295935612,713.8009964927876
25,2,562.6956,697.08765,582.6456,712.91504,598.7979,731.85913,11.121283760753752,581.9893613255163,713.1635894863435
26,2,562.4102,697.155,581.7793,712.5643,597.566,731.56506,11.77443191032223,581.5685643119133,712.6044268836192
27,2,562.43146,697.69385,581.79083,712.4434,597.0814,731.38586,13.785941929054736,581.1913663238624,712.1482531160793
28,2,562.4603,697.3787,581.6698,712.5148,596.3579,731.9938,14.745701700777683,580.8673007689691,711.8138887905075
29,2,562.63855,697.63586,581.61066,712.6323,596.15137,732.2268,15.097035259746647,580.5807236008216,711.5964592149595
30,2,562.5938,697.45654,581.5729,712.7982,595.99927,733.03674,15.567792954151308,580.3096964095033,711.4851658728095
31,2,561.7809,697.3845,580.97766,713.05176,595.71747,733.2153,14.613471409899883,580.0322807850978,711.4692102474326
32,2,560.9993,697.55914,580.1728,713.4095,595.5007,733.4009,12.94184909513147,579.7265383176889,711.537793822202
33,2,560.121,698.2146,579.41266,713.3539,595.3622,732.9428,12.723834512193282,579.3705305973602,711.6596449635351
34,2,559.2626,697.83374,578.96014,713.2242,595.2219,732.5779,11.959782243678994,578.9423192141954,711.7215995700159
35,2,557.92395,696.18164,578.164,711.66223,594.75134,731.4549,12.62459140031462,578.419965758278,711.6099287545646
36,2,556.7775,694.9013,577.0706,710.68414,594.1917,729.81055,10.292735716007048,577.7815318196917,711.2905369552765
37,2,556.22626,694.61475,575.8845,709.8949,592.1376,728.9477,11.67651091776393,577.012674715716,710.7676930412509
38,2,555.3994,694.85785,574.63916,709.16785,589.7004,727.3604,13.738525468023806,576.1294346724136,710.1194902804299
39,2,553.8301,695.2536,573.4527,708.09717,588.48553,725.92163,16.650416899046125,575.1554476430423,709.442478040466
40,2,553.79193,694.9587,572.74207,707.1169,588.21924,724.90906,16.29664988865248,574.1143495808608,708.8200351445919
41,2,554.1851,695.29767,571.8704,707.6763,587.7505,724.374,11.448160729975248,573.0297764391273,708.2828582383635
42,2,552.66644,695.2432,570.8121,708.2575,587.01794,724.87494,10.069819393710157,571.9253641711,707.8385619967913
43,2,550.97577,695.55554,569.8894,708.2663,586.1791,725.3571,12.472136009828194,570.8247487300373,707.4551153903853
44,2,549.57336,694.88776,568.68225,707.58435,585.8052,725.45807,12.627591104187536,569.7515660691976,707.09057596353
45,2,547.64624,693.39233,567.716,706.5221,585.4817,725.14185,13.151674933748104,568.7294521418389,706.7030012606108
46,2,546.0131,691.9436,567.2089,705.07574,585.21094,724.1649,14.89805042520515,567.776919171706,706.2638348021677
47,2,545.65564,692.0636,566.79816,705.3027,584.54694,723.9014,14.28553369841208,566.8919844644884,705.7980640133651
48,2,544.6119,691.6433,566.2864,705.54517,584.02155,724.07837,13.584707726938694,566.0675415963617,705.3440622955229
49,2,543.7659,691.0131,565.9661,705.1345,583.4593,723.47577,13.89557934378542,565.2964841435017,704.9197160544875
50,2,543.3265,690.46246,565.1552,704.56,582.1103,722.0876,13.09581328580195,564.571705682084,704.4609637142146
51,2,543.0944,690.2849,564.0357,703.7245,579.416,721.2471,16.033902018609826,563.8860997882845,703.9046741696918
52,2,543.4465,690.4303,563.5237,702.98206,577.96436,719.9774,17.63344278380421,563.2325600382788,703.2733861819315
53,2,543.5415,689.8678,563.2842,701.81116,577.86584,718.8487,18.26936169764331,562.6039800082428,702.6110559784528
54,2,543.63904,689.3419,563.1214,700.85236,577.8936,718.2091,19.02394774873055,561.9932532743521,701.9616397867748
55,2,542.82556,688.28015,562.3744,700.1772,577.7148,717.8739,17.755735074144127,561.394216158643,701.3641732834103
56,2,542.3302,688.27185,561.06934,701.1652,577.0135,718.3968,12.692599947620172,560.8044759665935,700.8380099408514
57,2,541.39935,687.63904,560.40027,701.07996,576.54004,718.43555,11.803884079191604,560.2225827495423,700.3975826805847
58,2,540.3537,687.41565,559.6127,700.7144,576.34717,717.9768,11.263602155494542,559.6470865588285,700.0375046115477
59,2,538.8237,687.032,558.8995,700.5289,576.5217,717.5974,10.172681212068868,559.0765374457903,699.673109592485
60,2,539.29364,684.23315,559.0619,699.00574,576.6597,716.48346,8.033457089359844,558.5094854617668,699.2216243049442
61,2,539.7971,682.25006,558.6755,698.1053,576.0364,714.39795,3.1564110781645405,557.9444806580963,698.6871259718788
62,2,538.41144,681.91693,557.8411,697.8694,575.41614,714.1647,3.44900889820274,557.3800730861176,698.0954044515939
63,2,537.57947,681.7366,557.2785,697.49664,574.5588,713.1542,3.5181399266888014,556.8148127971695,697.4722496023952
64,2,537.1667,681.4385,556.5714,696.56036,572.7954,712.2756,6.1584517660728055,556.2472498425907,696.8401165008535
65,2,536.4989,680.62085,556.2071,695.62384,571.49164,711.1173,8.108424256586042,555.6759342737196,696.2081210966047
66,2,536.4768,679.74347,555.57074,694.8732,570.741,709.88196,6.30045576511557,555.0994161418952,695.5820445575517
67,2,535.37854,678.49884,554.5673,694.0662,570.01373,709.7887,6.455976502905964,554.5162454984561,694.9676680515962
68,2,534.24634,678.2532,553.68256,694.20435,569.5624,709.83813,5.177140535802298,553.924972394741,694.3707727466411
69,2,533.6981,678.49304,552.91425,694.4119,568.8073,709.62054,4.1004519511892,553.3241468820885,693.7971398105881
70,2,532.74164,677.3924,552.23846,693.7021,568.4997,709.19916,3.707975958722357,552.7123190118374,693.2525504113398
71,2,531.8426,676.5455,551.8044,693.01117,568.19336,708.9982,4.770974079910149,552.0880388353262,692.7427857167983
72,2,530.5751,675.88257,551.08984,692.34937,567.9497,709.29034,6.384203465035717,551.4548484119603,692.2734848418083
73,2,529.1566,675.9039,550.6435,692.2943,567.61536,709.51697,8.083422888363202,550.8362578334084,691.8497186889838
74,2,528.1874,675.72534,550.5526,691.8157,567.53076,709.43854,10.334909489152238,550.2607691994073,691.4764161078814
75,2,528.80615,675.96814,550.98395,691.7959,567.67847,709.33856,10.904539860457314,549.7568846096922,691.158505948057
76,2,528.06384,675.9605,550.6944,691.8486,567.496,709.60657,11.513993910134802,549.3531061639992,690.9009170590676
77,2,527.112,675.7516,550.2763,691.7051,567.47,709.6283,11.634588740840682,549.0703666437182,690.7085782904688
78,2,526.3538,675.4676,549.89935,691.6691,567.265,709.6588,11.479519546382118,548.899321556856,690.5864184918175
79,2,526.9207,675.3866,549.7541,691.77924,567.27826,709.8544,10.211204354566496,548.8230570930733,690.5393665126701
80,2,527.7568,675.16833,549.9113,691.8472,567.29865,709.80963,8.95802331603481,548.8246594420307,690.5723512025826
81,2,528.0819,675.1644,550.1208,691.7742,567.23645,709.8107,9.496907656409569,548.8823035104101,690.6797272257747
82,2,528.324,674.71356,550.276,691.7139,567.3455,709.473,8.378924714446752,548.9545190729777,690.8135525051176
83,2,528.4237,674.27325,550.1653,691.74414,567.6434,709.36127,6.442659601933177,548.9949246215206,690.9153107781456
84,2,528.78656,674.27875,550.182,691.8131,567.62695,709.1635,5.508403463440943,548.9571386478257,690.926485782393
85,2,528.35065,673.80585,549.5194,691.5749,567.24554,708.2352,3.214488878855769,548.7947796436804,690.7885612553947
86,2,527.9476,672.8315,548.44995,690.19855,565.0372,706.10815,3.538284210017526,548.4752297968688,690.4624539863883
87,2,527.09393,672.0116,546.79987,688.86084,562.18677,705.3874,6.513640737444399,548.0209260791617,689.9868129714266
88,2,526.52655,671.57306,546.11707,687.5411,561.10266,704.53986,9.418513244300945,547.4680691583272,689.419720258266
89,2,526.15906,670.8668,545.4183,687.3138,561.1141,704.3933,6.9208157953702685,546.8528597021332,688.819257894663
90,2,525.7841,670.1641,544.85626,687.3436,561.13336,704.4478,4.407978092293965,546.2059579219477,688.2322410128467
91,2,525.2912,669.79724,544.5189,687.0725,560.78076,704.4736,4.999946237165246,545.5358622035395,687.6604170829401
92,2,524.2787,668.9729,543.7201,686.28394,560.5337,703.93494,4.709273243467377,544.8455304762775,687.0942666595389
93,2,522.9222,667.6124,542.9543,685.6952,560.2716,703.13666,3.1324413714122343,544.1379206695303,686.5242702972386
94,2,522.4434,666.6985,542.57666,685.20825,560.1005,703.1609,3.098130312386826,543.4159907126669,685.9409085506351
95,2,522.24414,665.7018,542.2107,684.70306,559.9081,702.4677,1.5275186801571743,542.6826985350559,685.3346619743245
96,2,521.2305,664.381,541.4003,683.94037,559.7751,701.7758,0.0342640200960379,541.9410020660664,684.6960111229018
97,2,521.0036,665.04456,541.12836,683.7097,559.5291,702.0655,2.084971057684597,541.1938592350671,684.0154365509637
