Frame,ID1,ID2,ID3,ID4,ID5
1034,1,,,,
1039,0,,,,
1041,1,,,,
1046,1,,,,
1048,0,,,,
1050,,2,8,,
1055,,,,,1
1056,3,,,,
1057,2,,5,,1
1059,,,4,,1
1060,,,5,,
1061,1,,4,0,2
1062,2,,4,0,3
1063,3,,,0,2
1064,3,,8,,
1065,3,1,4,,
1066,3,,8,,
1067,3,,4,,
1068,2,,4,0,
1069,2,,5,,
1070,2,,8,,
1071,2,,6,,
1072,1,,5,,
1073,1,,5,,
1074,5,,1,,
1075,5,,,0,
1076,4,2,,,
1077,,,,0,
1078,,,,0,
1079,,2,,0,
1080,4,2,,1,
1081,,2,,0,
1082,,2,,0,
1083,,2,,0,
1084,,2,,,
1086,,,,1,
1088,5,1,,,
1091,,1,,,
1092,,1,,,
1093,,,,0,
1097,10,,,0,
1098,7,,,0,
1099,7,,,0,
1100,,,,0,
1101,13,,,1,
1102,13,,,,
1103,13,,,,
1104,6,,3,0,
1105,5,,,0,
1106,4,,,0,
1107,5,,,0,
1108,6,,,0,
1109,,,,0,
1110,0,1,,,
1111,,,,0,
1113,5,,,1,
1114,6,,,1,
1115,6,,,,
1116,6,,,,
1117,5,,,0,
1118,5,,,,
1119,4,,,,
1120,6,,3,,
1121,6,,3,,
1122,5,,8,,
1124,4,,5,,
1125,4,,6,,
1126,4,,8,,
1127,5,,8,,
1128,3,,4,,
1129,3,,4,,
1130,3,,6,,
1131,5,,3,,
1132,4,,5,,1
1133,4,,6,,1
1134,5,,2,,1
1135,3,,2,,1
1136,3,,5,,
1137,2,,4,,
1138,3,,5,,
1139,3,,4,,1
1140,3,,4,,1
1141,4,,3,,
1142,4,,5,,
1143,,,5,,
1144,5,,,,
1145,5,,,,
1146,4,,3,,
1147,4,,3,,
1148,6,,3,,
1149,10,,2,,
1150,9,,3,,
1151,6,,3,,
1152,5,,3,,
1153,5,,3,,
1154,11,,3,,
1155,15,,6,,
1156,3,,6,,
1157,8,,5,,
1161,10,,4,,
1163,9,,4,,
1164,10,,10,1,
1167,7,,4,1,
1168,6,,4,,
1169,9,,5,,
1170,9,1,5,,
1171,7,,4,,10
1172,5,,4,,
1173,7,,5,,
1174,5,,4,,
1175,8,,3,,
1176,6,,4,,
1177,3,,4,,
1178,2,,5,,
1180,0,,5,,
1181,0,,5,,
1182,0,,5,,
1183,0,,5,,
1184,2,,7,,
1185,2,,7,,
1186,4,,5,0,
1187,3,,5,0,
1188,3,,6,0,
1189,2,,6,,
1190,2,,8,,
1191,2,,9,,
1192,10,,2,,
1193,6,,1,,
1194,6,,1,,
1196,,,,,9
1199,6,,,,
1200,14,,3,,
1201,9,,3,0,13
1202,6,,3,0,
1203,9,,3,0,
1204,8,,3,0,
1205,4,,3,,
1206,,,,0,
1207,,,,0,
1208,,,,0,
1209,6,,,0,7
1210,4,,,0,
1211,,,3,0,
1212,3,,,0,
1213,3,,,,
1214,,,,0,
1215,,2,,0,
1216,,,5,,
1218,,1,,0,
1232,,5,,,
1233,,5,,,
1244,,3,2,,
1245,,2,3,,
1246,,,3,,
1247,,,2,,
1248,,,2,,5
1249,,,,,5
1250,1,,3,,5
1254,,,2,,
1255,,,2,,
1256,,,3,,
1257,,,1,,
1258,,,9,,
1259,,,2,,
1260,,,2,,
1261,,,2,,
1273,,,,,3
1274,,,,,2
1289,,2,5,,
1291,,,4,,
1292,,,,1,
1297,,,4,0,
1298,,,4,,3
1300,,,,1,
1301,,,,,4
1302,,,,,4
1303,,,,,4
1305,,,3,,5
1306,,,,,5
1307,,,,0,5
1308,,,,0,6
1309,,,,0,4
1310,,,,0,5
1311,,,,,5
1312,,,,0,
1313,,,,,6
1314,2,,,,6
1315,,,,,6
1316,,,,,6
1317,,,,,6
1318,,,,,5
1319,,,,,
1321,,,,1,
1323,,,,,6
1324,,,,,
1325,,0,,,
1326,,0,,,8
1327,,1,,0,8
1328,,1,3,,7
1329,3,1,,,
1330,,,11,,
1331,2,,10,,
1333,8,,,,
1334,4,,3,1,
1335,,,4,,
1336,2,,,,
1338,,,,,7
1342,,,,1,
1343,,,3,1,
1344,,,3,1,
1345,3,,2,1,
1346,3,,2,1,
1347,,,2,1,
1348,3,,2,1,
1349,5,,2,,
1350,4,,2,,
1351,4,,2,1,
1352,4,,2,,
1353,4,,3,,
1354,6,,,,
1355,4,,,1,
1356,4,,,1,
1358,1,,,,
1359,1,,3,,
1360,1,,,,
1361,1,,2,,
1362,1,,,,
1363,1,,,,
1364,1,,2,,
1365,1,,,,
1367,1,,,,
1368,1,,,,
1369,1,0,,3,
1370,,0,,,
1372,,0,,,
1373,1,0,,4,
1374,0,1,,4,
1375,0,,,4,
1376,1,,,4,
1377,1,,,4,
1378,,,,3,
1379,,,,2,
1380,,,,1,
1381,,,,0,
1382,,,,1,
1383,,,,4,
1384,1,,,,
1385,1,,,,
1386,2,,,,
1389,,,,3,
1390,10,,,3,
1393,,,,2,
1400,2,,,,
1401,2,,,,
1415,,,,0,
1416,,,,,1
1420,,,,,1
1421,,,,,1
1422,,,,,1
1423,,,,,1
1424,,,,,1
1437,,,,,0
1439,,,,2,
1440,,,,2,
1445,,,,,0
1446,,,,,0
1456,5,,,,0
1459,6,,,,0
1460,,,,,0
1461,,,,,0
1462,,,,,0
1463,,,,,0
1464,,,,,0
1465,,,,,0
1466,,,,,0
1467,,,,,0
1470,,,,6,
1472,,,,,0
1473,,1,,4,0
1474,,4,,,0
1487,6,,,,
1488,4,,,,
1491,,,,2,
1492,,,,2,
1500,,3,,,
