,id1,id2,start_frame,end_frame
193,2.0,9.0,1805,1807
194,2.0,9.0,3526,3526
195,2.0,9.0,3542,3593
196,2.0,9.0,3629,3641
197,2.0,9.0,3697,3699
198,2.0,9.0,4049,4049
199,2.0,9.0,4316,4325
200,2.0,9.0,4391,4404
201,2.0,9.0,4421,4421
202,2.0,9.0,4445,4445
203,2.0,9.0,5591,5606
204,9.0,2.0,1306,1311
205,9.0,2.0,1328,1373
206,9.0,2.0,1792,1807
207,9.0,2.0,3526,3593
208,9.0,2.0,3632,3638
209,9.0,2.0,3697,3699
210,9.0,2.0,4314,4317
211,9.0,2.0,4397,4399
212,9.0,2.0,4413,4422
213,9.0,2.0,4443,4444
214,9.0,2.0,5551,5606
215,5.0,9.0,1532,1532
216,5.0,9.0,1545,1551
217,9.0,5.0,1545,1551
218,9.0,5.0,1570,1575
219,3.0,7.0,1745,1746
220,3.0,7.0,1866,1881
221,7.0,3.0,1745,1746
222,7.0,3.0,1870,1872
223,7.0,3.0,1891,1891
224,8.0,6.0,1773,1774
225,8.0,6.0,1810,1814
226,8.0,6.0,3278,3278
227,8.0,6.0,3369,3413
228,8.0,6.0,4167,4182
229,8.0,6.0,4205,4213
230,8.0,6.0,4257,4265
231,2.0,5.0,2024,2024
232,2.0,5.0,2039,2043
233,2.0,5.0,2182,2182
234,2.0,5.0,2777,2782
235,2.0,5.0,2814,2849
236,2.0,5.0,2878,2882
237,2.0,5.0,2914,2918
238,2.0,5.0,2996,2996
239,2.0,5.0,3010,3065
240,5.0,2.0,2024,2042
241,5.0,2.0,2782,2802
242,5.0,2.0,2818,2881
243,5.0,2.0,2893,2906
244,5.0,2.0,2942,2942
245,5.0,2.0,3016,3042
246,5.0,2.0,3054,3064
247,5.0,2.0,3093,3093
248,2.0,10.0,2332,2332
249,2.0,10.0,2347,2355
250,2.0,10.0,2402,2462
251,2.0,10.0,2486,2486
252,2.0,10.0,2508,2510
253,2.0,10.0,2523,2536
254,2.0,10.0,2548,2558
255,10.0,2.0,2347,2347
256,10.0,2.0,2411,2426
257,10.0,2.0,2444,2470
258,10.0,2.0,2485,2491
259,10.0,2.0,2507,2510
260,10.0,2.0,2523,2528
261,10.0,2.0,2543,2563
262,1.0,9.0,2479,2507
263,1.0,9.0,2540,2562
264,1.0,9.0,2576,2576
265,1.0,9.0,2646,2646
266,9.0,1.0,2492,2509
267,9.0,1.0,2540,2562
268,9.0,1.0,2576,2599
269,7.0,8.0,2815,2999
270,7.0,8.0,3012,3018
271,7.0,8.0,3042,3076
272,7.0,8.0,3306,3306
273,7.0,8.0,3319,3355
274,7.0,8.0,3370,3400
275,7.0,8.0,4933,4943
276,7.0,8.0,5015,5017
277,4.0,10.0,2816,2890
278,4.0,10.0,2910,2953
279,4.0,10.0,2969,3005
280,4.0,10.0,3038,3052
281,4.0,10.0,3077,3087
282,4.0,10.0,3133,3134
283,4.0,10.0,3149,3149
284,4.0,10.0,3239,3239
285,4.0,10.0,3268,3306
286,4.0,10.0,3339,3348
287,10.0,4.0,2816,2898
288,10.0,4.0,2910,2927
289,10.0,4.0,2939,2953
290,10.0,4.0,2969,3005
291,10.0,4.0,3039,3039
292,10.0,4.0,3086,3087
293,10.0,4.0,3239,3239
294,10.0,4.0,3268,3305
295,10.0,4.0,3340,3348
296,10.0,4.0,3370,3373
297,2.0,3.0,2870,2881
298,2.0,3.0,3003,3010
299,2.0,3.0,3040,3059
300,2.0,3.0,3121,3137
301,3.0,5.0,2938,2947
302,3.0,5.0,2960,2982
303,3.0,5.0,2996,3005
304,3.0,5.0,3979,4081
305,3.0,2.0,3008,3008
306,3.0,2.0,3040,3046
307,3.0,2.0,3114,3116
308,3.0,2.0,3128,3136
309,5.0,1.0,3010,3014
310,5.0,1.0,4797,4824
311,5.0,1.0,4874,4884
312,5.0,1.0,4912,4916
313,6.0,7.0,3367,3371
314,6.0,7.0,3387,3398
315,6.0,7.0,3490,3490
316,6.0,7.0,3509,3509
317,6.0,7.0,3529,3563
318,6.0,7.0,3630,3640
319,6.0,7.0,3655,3690
320,6.0,7.0,3705,3709
321,6.0,7.0,3724,3724
322,6.0,7.0,3808,3815
323,6.0,7.0,3938,4012
324,7.0,6.0,3367,3371
325,7.0,6.0,3398,3400
326,7.0,6.0,3447,3447
327,7.0,6.0,3490,3490
328,7.0,6.0,3530,3563
329,7.0,6.0,3630,3641
330,7.0,6.0,3655,3690
331,7.0,6.0,3706,3706
332,7.0,6.0,3776,3776
333,7.0,6.0,3803,3823
334,7.0,6.0,3938,4010
335,6.0,9.0,3413,3414
336,6.0,9.0,4475,4515
337,3.0,10.0,3505,3534
338,3.0,10.0,3549,3549
339,3.0,10.0,3574,3594
340,10.0,3.0,3511,3534
341,10.0,3.0,3549,3549
342,10.0,3.0,3574,3588
343,4.0,3.0,3761,3778
344,4.0,3.0,3812,3823
345,4.0,3.0,3842,3874
346,4.0,3.0,3890,3914
347,4.0,3.0,3935,3936
348,4.0,3.0,3953,3964
349,3.0,4.0,3766,3778
350,3.0,4.0,3812,3874
351,3.0,4.0,3890,3910
352,3.0,4.0,3935,3936
353,3.0,4.0,3953,3987
354,1.0,8.0,3806,3814
355,1.0,8.0,3855,3871
356,1.0,8.0,3898,3918
357,1.0,8.0,3952,3956
358,1.0,8.0,3972,3974
359,1.0,8.0,4161,4161
360,1.0,8.0,4207,4220
361,1.0,8.0,4268,4269
362,1.0,8.0,4298,4313
363,1.0,8.0,4328,4330
364,1.0,8.0,4417,4420
365,1.0,8.0,4459,4518
366,1.0,8.0,4541,4541
367,1.0,8.0,4621,4621
368,1.0,8.0,4640,4640
369,1.0,8.0,5662,5678
370,1.0,8.0,5728,5728
371,8.0,1.0,3811,3814
372,8.0,1.0,3855,3871
373,8.0,1.0,4148,4168
374,8.0,1.0,4207,4212
375,8.0,1.0,4268,4374
376,8.0,1.0,4402,4433
377,8.0,1.0,4455,4559
378,8.0,1.0,4571,4587
379,8.0,1.0,4639,4649
380,8.0,1.0,5662,5682
381,2.0,8.0,3897,3901
382,8.0,2.0,3897,3908
383,8.0,2.0,3990,3990
384,8.0,9.0,3999,3999
385,8.0,9.0,4139,4141
386,9.0,8.0,3999,3999
387,9.0,8.0,4130,4134
388,9.0,6.0,4463,4515
389,3.0,6.0,4562,4624
390,3.0,6.0,4643,4658
391,6.0,3.0,4562,4592
392,6.0,3.0,4614,4628
393,6.0,3.0,4675,4693
394,7.0,4.0,5623,5631
395,7.0,4.0,5674,5692
396,7.0,4.0,5707,5712
397,4.0,7.0,5652,5654
398,4.0,7.0,5681,5689
399,4.0,7.0,5717,5744
400,4.0,7.0,5790,5792
401,4.0,7.0,5809,5809
